OBJECTID,Freeway,1km_radius,ROAD_GEOMETRY
3411867,1.0,N,Cross intersection
3411867,1.0,N,Cross intersection
3411867,1.0,N,Cross intersection
3411976,,Y,Not at intersection
3412180,,N,Cross intersection
3412504,1.0,Y,T intersection
3412504,1.0,N,T intersection
3412504,1.0,N,T intersection
3412577,,N,Not at intersection
3412577,,N,Not at intersection
3412691,1.0,N,Cross intersection
3412691,1.0,N,Cross intersection
3413094,,Y,T intersection
3413094,,N,T intersection
3413105,1.0,N,Not at intersection
3413105,1.0,N,Not at intersection
3413105,1.0,N,Not at intersection
3413437,,N,Not at intersection
3413516,,Y,Not at intersection
3413516,,Y,Not at intersection
3414055,1.0,Y,Not at intersection
3414055,1.0,N,Not at intersection
3414417,1.0,Y,Cross intersection
3414417,1.0,N,Cross intersection
3414692,,N,T intersection
3414692,,N,T intersection
3414693,,N,T intersection
3414857,,N,Not at intersection
3415022,1.0,N,Not at intersection
3415022,1.0,N,Not at intersection
3415022,1.0,N,Not at intersection
3415159,,Y,Not at intersection
3415159,,N,Not at intersection
3415191,,N,Not at intersection
3415418,,N,Not at intersection
3415439,1.0,N,T intersection
3415439,1.0,N,T intersection
3415439,1.0,N,T intersection
3415519,1.0,N,Not at intersection
3415519,1.0,N,Not at intersection
3415604,,N,Not at intersection
3415604,,N,Not at intersection
3415652,,N,Not at intersection
3415795,,N,Not at intersection
3415888,,N,T intersection
3416052,,N,Not at intersection
3416176,,N,Not at intersection
3416313,1.0,N,Not at intersection
3416313,1.0,N,Not at intersection
3417075,1.0,Y,Not at intersection
3417075,1.0,N,Not at intersection
3417080,,Y,Not at intersection
3417080,,N,Not at intersection
3417193,1.0,N,T intersection
3417193,1.0,N,T intersection
3417193,1.0,N,T intersection
3417246,,Y,Not at intersection
3417350,,Y,T intersection
3417350,,N,T intersection
3417594,,Y,T intersection
3417803,,N,Cross intersection
3417803,,N,Cross intersection
3417841,,N,Not at intersection
3417969,1.0,Y,Cross intersection
3417969,1.0,N,Cross intersection
3418144,,N,Not at intersection
3418341,,N,Not at intersection
3418376,,Y,Not at intersection
3418900,1.0,N,Not at intersection
3418900,1.0,N,Not at intersection
3419259,,N,Not at intersection
3419372,1.0,Y,Not at intersection
3419372,1.0,N,Not at intersection
3419468,1.0,Y,T intersection
3419468,1.0,N,T intersection
3419468,1.0,N,T intersection
3419547,1.0,Y,T intersection
3419547,1.0,Y,T intersection
3419547,1.0,N,T intersection
3419669,,Y,T intersection
3419805,,N,Cross intersection
3419805,,N,Cross intersection
3419820,1.0,N,Not at intersection
3419820,1.0,N,Not at intersection
3419820,1.0,N,Not at intersection
3419931,1.0,N,Not at intersection
3419931,1.0,N,Not at intersection
3419931,1.0,N,Not at intersection
3420013,,Y,Not at intersection
3420374,1.0,N,T intersection
3420374,1.0,N,T intersection
3420374,1.0,N,T intersection
3420470,,N,Cross intersection
